parser,contexts,successful_contexts,questions,word_error_rate,text_accuracy_from_wer,reading_order_accuracy,table_cell_precision,table_cell_recall,table_cell_f1,table_shape_accuracy,table_exact_match,extractive_answer_retention,arithmetic_operand_retention,mean_seconds_per_context,median_seconds_per_context
pymupdf4llm,278,278,1668,0.03140470881674918,0.9685952911832508,0.9862942947482458,0.8891900344000834,0.9725230874472695,0.9289915051187105,0.43884892086330934,0.03597122302158273,0.9727668845315904,0.9258867125463208,0.8917560539568345,0.6489625
pymupdf,278,278,1668,0.006386757870072937,0.9936132421299271,0.9966239623093106,0.999656002751978,0.9939573594801049,0.9967985364738166,0.9496402877697842,0.9388489208633094,0.9945533769063181,0.9258867125463208,0.21663704316546764,0.1674705
