parser,context_uid,pages,questions,word_error_rate,text_accuracy_from_wer,reading_order_accuracy,table_cell_f1,table_shape_match,table_exact_match,extractive_answer_retention,arithmetic_operand_retention,runtime_seconds,run_status
pymupdf4llm,00a5764e-8bb7-48f1-a4cb-bea0edf188b1,1,6,0.03375527426160337,0.9662447257383966,0.9873417721518988,0.9130434782608696,0,0,1.0,1.0,0.599434,ok
pymupdf4llm,b05fde22-386f-442b-a606-0ef9db39ff51,1,6,0.029411764705882353,0.9705882352941176,1.0,0.9268292682926829,0,0,1.0,1.0,0.318627,ok
pymupdf4llm,68bafc82-b795-4c7b-9506-e901223c3526,1,6,0.07142857142857142,0.9285714285714286,0.9642857142857143,0.9636363636363636,0,0,1.0,1.0,0.643347,ok
pymupdf4llm,bcbd7783-86ad-430d-aa96-48808bb0426c,2,6,0.0013315579227696406,0.9986684420772304,0.9986684420772304,1.0,1,1,1.0,1.0,2.410770,ok
pymupdf4llm,4145912c-86dc-434b-8990-1cfe78f298f5,1,6,0.0457516339869281,0.954248366013072,0.9803921568627451,0.9268292682926829,0,0,0.6666666666666666,0.875,0.469682,ok
pymupdf4llm,82dca6c3-9259-4be6-9c9f-fc74aa6c81f7,1,6,0.011538461538461539,0.9884615384615385,1.0,0.9189189189189189,1,0,1.0,1.0,1.167128,ok
pymupdf4llm,a9ddf64a-2806-4476-b341-05d7d06fdcf6,1,6,0.039735099337748346,0.9602649006622517,0.9668874172185431,0.8387096774193549,1,0,1.0,1.0,1.336394,ok
pymupdf4llm,361835e5-b8ba-49c5-9ebb-ce0aa5eca2bf,1,6,0.038135593220338986,0.961864406779661,0.9809322033898306,0.6315789473684211,0,0,1.0,1.0,1.301079,ok
pymupdf4llm,a3aadeea-1c1a-4449-9244-d5e8e1d7f277,1,6,0.0427807486631016,0.9572192513368984,0.983957219251337,0.951219512195122,0,0,1.0,1.0,0.749957,ok
pymupdf4llm,8ba4089b-a3d7-403b-860a-40a9cbdf3d8c,1,6,0.12264150943396226,0.8773584905660378,0.9433962264150944,0.9090909090909091,0,0,1.0,1.0,0.196893,ok
